0	-1.19E-02
0.001	3.75E-03
0.002	-1.19E-02
0.003	-1.19E-02
0.004	3.75E-03
0.005	3.75E-03
0.006	-1.19E-02
0.007	-1.19E-02
0.008	-1.19E-02
0.009	3.75E-03
0.01	3.75E-03
0.011	1.94E-02
0.012	3.75E-03
0.013	-1.19E-02
0.014	3.75E-03
0.015	3.75E-03
0.016	-1.19E-02
0.017	3.75E-03
0.018	3.75E-03
0.019	1.94E-02
0.02	3.75E-03
0.021	3.75E-03
0.022	-1.19E-02
0.023	-1.19E-02
0.024	-1.19E-02
0.025	-1.19E-02
0.026	-1.19E-02
0.027	-1.19E-02
0.028	-1.19E-02
0.029	-2.75E-02
0.03	-1.19E-02
0.031	-1.19E-02
0.032	-1.19E-02
0.033	-2.75E-02
0.034	-1.19E-02
0.035	3.75E-03
0.036	3.75E-03
0.037	3.75E-03
0.038	-1.19E-02
0.039	3.75E-03
0.04	3.75E-03
0.041	3.75E-03
0.042	1.94E-02
0.043	3.75E-03
0.044	3.75E-03
0.045	3.75E-03
0.046	3.75E-03
0.047	1.94E-02
0.048	3.75E-03
0.049	3.75E-03
0.05	1.94E-02
0.051	1.94E-02
0.052	1.94E-02
0.053	1.94E-02
0.054	1.94E-02
0.055	3.50E-02
0.056	1.94E-02
0.057	1.94E-02
0.058	1.94E-02
0.059	3.75E-03
0.06	3.75E-03
0.061	-1.19E-02
0.062	-1.19E-02
0.063	-1.19E-02
0.064	-1.19E-02
0.065	-2.75E-02
0.066	3.75E-03
0.067	-2.75E-02
0.068	-2.75E-02
0.069	-2.75E-02
0.07	-1.19E-02
0.071	-1.19E-02
0.072	3.75E-03
0.073	-1.19E-02
0.074	-1.19E-02
0.075	3.75E-03
0.076	-2.75E-02
0.077	-2.75E-02
0.078	-2.75E-02
0.079	-1.19E-02
0.08	-1.19E-02
0.081	-1.19E-02
0.082	-1.19E-02
0.083	3.75E-03
0.084	-1.19E-02
0.085	-1.19E-02
0.086	-1.19E-02
0.087	3.75E-03
0.088	3.75E-03
0.089	3.75E-03
0.09	-1.19E-02
0.091	1.94E-02
0.092	3.75E-03
0.093	3.75E-03
0.094	3.75E-03
0.095	3.75E-03
0.096	3.75E-03
0.097	1.94E-02
0.098	1.94E-02
0.099	1.94E-02
0.1	1.94E-02
0.101	3.50E-02
0.102	3.50E-02
0.103	1.94E-02
0.104	1.94E-02
0.105	1.94E-02
0.106	3.75E-03
0.107	3.75E-03
0.108	3.75E-03
0.109	3.75E-03
0.11	3.75E-03
0.111	1.94E-02
0.112	3.75E-03
0.113	3.75E-03
0.114	-1.19E-02
0.115	3.75E-03
0.116	3.75E-03
0.117	3.75E-03
0.118	3.75E-03
0.119	1.94E-02
0.12	3.75E-03
0.121	3.75E-03
0.122	3.75E-03
0.123	3.75E-03
0.124	-1.19E-02
0.125	-1.19E-02
0.126	-1.19E-02
0.127	3.75E-03
0.128	-1.19E-02
0.129	-1.19E-02
0.13	-1.19E-02
0.131	-2.75E-02
0.132	3.75E-03
0.133	-1.19E-02
0.134	-2.75E-02
0.135	-2.75E-02
0.136	-2.75E-02
0.137	-2.75E-02
0.138	-1.19E-02
0.139	-1.19E-02
0.14	3.75E-03
0.141	3.75E-03
0.142	3.75E-03
0.143	3.75E-03
0.144	3.75E-03
0.145	1.94E-02
0.146	3.75E-03
0.147	3.75E-03
0.148	3.75E-03
0.149	3.75E-03
0.15	3.75E-03
0.151	-1.19E-02
0.152	-1.19E-02
0.153	-1.19E-02
0.154	-1.19E-02
0.155	-1.19E-02
0.156	-1.19E-02
0.157	-1.19E-02
0.158	-1.19E-02
0.159	-1.19E-02
0.16	-1.19E-02
0.161	3.75E-03
0.162	-1.19E-02
0.163	3.75E-03
0.164	3.75E-03
0.165	3.75E-03
0.166	3.75E-03
0.167	3.75E-03
0.168	3.75E-03
0.169	3.75E-03
0.17	3.75E-03
0.171	3.75E-03
0.172	3.75E-03
0.173	3.75E-03
0.174	3.75E-03
0.175	3.75E-03
